day	wk1	wk2	wk3	wk4	wk5	wk6	cumm	covid	country
14	1	0	0	0	0	0	0	0	3
15	1	0	0	0	0	0	0	0	3
16	1	0	0	0	0	0	0	0	3
17	1	0	0	0	0	0	0	0	3
18	1	0	0	0	0	0	0	0	3
19	1	0	0	0	0	0	0	0	3
20	1	0	0	0	0	0	0	0	3
21	1	0	0	0	0	0	0	0	3
22	1	0	0	0	0	0	0	0	3
23	1	0	0	0	0	0	0	0	3
24	1	0	0	0	0	0	0	0	3
25	1	0	0	0	0	0	0	0	3
26	1	0	0	0	0	0	0	0	3
27	1	0	0	0	0	0	0	0	3
28	1	0	0	0	0	0	0	0	3
29	1	0	0	0	0	0	0	0	3
30	0	1	0	0	0	0	0	0	3
31	0	1	0	0	0	0	0	0	3
32	0	1	0	0	0	0	0	1	3
33	0	1	0	0	0	0	1	0	3
34	0	1	0	0	0	0	1	0	3
35	0	1	0	0	0	0	1	1	3
36	0	1	0	0	0	0	2	0	3
37	0	0	1	0	0	0	2	0	3
38	0	0	1	0	0	0	2	0	3
39	0	0	1	0	0	0	2	3	3
40	0	0	1	0	0	0	5	0	3
41	0	0	1	0	0	0	5	0	3
42	0	0	1	0	0	0	5	1	3
43	0	0	1	0	0	0	6	0	3
44	0	0	0	1	0	0	6	0	3
45	0	0	0	1	0	0	6	0	3
46	0	0	0	1	0	0	6	0	3
47	0	0	0	1	0	0	6	2	3
48	0	0	0	1	0	0	8	5	3
49	0	0	0	1	0	0	13	0	3
50	0	0	0	1	0	0	13	3	3
51	0	0	0	0	1	0	16	0	3
52	0	0	0	0	1	0	16	6	3
53	0	0	0	0	1	0	22	4	3
54	0	0	0	0	1	0	26	0	3
55	0	0	0	0	1	0	26	0	3
56	0	0	0	0	1	0	26	4	3
57	0	0	0	0	1	0	30	5	3
58	0	0	0	0	0	1	35	0	3
59	0	0	0	0	0	1	35	0	3
60	0	0	0	0	0	1	35	0	3
61	0	0	0	0	0	1	35	0	3
62	0	0	0	0	0	1	35	0	3
1	1	0	0	0	0	0	0	0	4
2	1	0	0	0	0	0	0	0	4
3	1	0	0	0	0	0	0	0	4
4	1	0	0	0	0	0	0	0	4
5	1	0	0	0	0	0	0	0	4
6	1	0	0	0	0	0	0	0	4
7	1	0	0	0	0	0	0	0	4
8	1	0	0	0	0	0	0	0	4
9	1	0	0	0	0	0	0	0	4
10	1	0	0	0	0	0	0	0	4
11	1	0	0	0	0	0	0	0	4
12	1	0	0	0	0	0	0	0	4
13	1	0	0	0	0	0	0	0	4
14	1	0	0	0	0	0	0	0	4
15	1	0	0	0	0	0	0	0	4
16	1	0	0	0	0	0	0	0	4
17	1	0	0	0	0	0	0	0	4
18	1	0	0	0	0	0	0	0	4
19	1	0	0	0	0	0	0	0	4
20	1	0	0	0	0	0	0	0	4
21	1	0	0	0	0	0	0	0	4
22	1	0	0	0	0	0	0	0	4
23	1	0	0	0	0	0	0	0	4
24	1	0	0	0	0	0	0	0	4
25	1	0	0	0	0	0	0	0	4
26	1	0	0	0	0	0	0	0	4
27	1	0	0	0	0	0	0	0	4
28	1	0	0	0	0	0	0	0	4
29	1	0	0	0	0	0	0	0	4
30	0	1	0	0	0	0	0	0	4
31	0	1	0	0	0	0	0	0	4
32	0	1	0	0	0	0	0	0	4
33	0	1	0	0	0	0	0	0	4
34	0	1	0	0	0	0	0	0	4
35	0	1	0	0	0	0	0	0	4
36	0	1	0	0	0	0	0	0	4
37	0	0	1	0	0	0	0	0	4
38	0	0	1	0	0	0	0	0	4
39	0	0	1	0	0	0	0	0	4
40	0	0	1	0	0	0	0	0	4
41	0	0	1	0	0	0	0	0	4
42	0	0	1	0	0	0	0	0	4
43	0	0	1	0	0	0	0	0	4
44	0	0	0	1	0	0	0	0	4
45	0	0	0	1	0	0	0	0	4
46	0	0	0	1	0	0	0	0	4
47	0	0	0	1	0	0	0	3	4
48	0	0	0	1	0	0	3	1	4
49	0	0	0	1	0	0	4	0	4
50	0	0	0	1	0	0	4	0	4
51	0	0	0	0	1	0	4	0	4
52	0	0	0	0	1	0	4	2	4
53	0	0	0	0	1	0	6	0	4
54	0	0	0	0	1	0	6	0	4
55	0	0	0	0	1	0	6	1	4
56	0	0	0	0	1	0	7	6	4
57	0	0	0	0	1	0	13	0	4
58	0	0	0	0	0	1	13	0	4
59	0	0	0	0	0	1	13	0	4
60	0	0	0	0	0	1	13	0	4
61	0	0	0	0	0	1	13	0	4
62	0	0	0	0	0	1	13	0	4
1	1	0	0	0	0	0	0	0	5
2	1	0	0	0	0	0	0	0	5
3	1	0	0	0	0	0	0	0	5
4	1	0	0	0	0	0	0	0	5
5	1	0	0	0	0	0	0	0	5
6	1	0	0	0	0	0	0	0	5
7	1	0	0	0	0	0	0	0	5
8	1	0	0	0	0	0	0	0	5
9	1	0	0	0	0	0	0	0	5
10	1	0	0	0	0	0	0	0	5
11	1	0	0	0	0	0	0	0	5
12	1	0	0	0	0	0	0	0	5
13	1	0	0	0	0	0	0	0	5
14	1	0	0	0	0	0	0	0	5
15	1	0	0	0	0	0	0	0	5
16	1	0	0	0	0	0	0	0	5
17	1	0	0	0	0	0	0	0	5
18	1	0	0	0	0	0	0	0	5
19	1	0	0	0	0	0	0	0	5
20	1	0	0	0	0	0	0	0	5
21	1	0	0	0	0	0	0	0	5
22	1	0	0	0	0	0	0	0	5
23	1	0	0	0	0	0	0	0	5
24	1	0	0	0	0	0	0	0	5
